document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
    PMC3496742,,,,,,,,,
PMC35913,Public Lib,Plos One,Crystal str,£896.99,,,,,
PMCID: P,Public Lib,PLoS ONE,LKB1 med,£897.19,,,,,
PMC36371,Public Lib,PLOS ONE,Using hor,£897.61,,,,,
PMC36559,Public Lib,PLOS ONE,How does,£897.61,,,,,
PMC35901,Public Lib,PLoS One,Control of,£899.34,,,,,
3726600,Public Lib,PLoS One,Plasmodi,£999999.00,,,,,
23285297,Public Lib,PLOS ONE,Pharmaco,£999999.00,,,,,
PMC37209,Public Lib,PLoS One,Populatio,£999999.00,,,,,
PMCID: P,Public Lib,PLoS ONE,Plant SILA,£999999.00,,,,,
PMCID:,Public Lib,PLoS ONE,Phagocyt,£999999.00,,,,,
    PMC3579793,,,,,,,,,
PMCID:,Public Lib,PLOS ONE,Pneumoc,£999999.00,,,,,
    PMC3732248,,,,,,,,,
PMCID:,Public Lib,PLoS ONE,Phenotyp,£999999.00,,,,,
    PMC3767740,,,,,,,,,
PMC36421,Public Lib,PLOS ONE,Nicotinic,£900.14,,,,,
PMC35941,Public Lib,PLoS One,Genetic V,£904.34,,,,,
PMC36911,Public Lib,PLoS One,Genetic di,£907.08,,,,,
PMCID: P,Public Lib,PLoS ONE,Dectin-1 r,£908.01,,,,,
PMCID: P,Public Lib,PLoS ONE,Modulati,£909.99,,,,,
PMC34757,Public Lib,PLoS One,Protein-P,£910.20,,,,,
PMCID:,Public Lib,PLoS One,Inactivati,£913.36,,,,,
    PMC3636223,,,,,,,,,
PMCID: P,Public Lib,PLoS ONE,Structure,£915.53,,,,,
23805259,Public Lib,PLoS ONE,Structural,£918.62,,,,,
PMCID: P,Public Lib,PLoS One,Patent hu,£953.48,,,,,
PMCID:,Public Lib,PloS ONE,Limitation,£960.16,,,,,
    PMC3609862,,,,,,,,,
PMCID:,Public Lib,PLoS ONE,Historical,£961.68,,,,,
    PMC3647051,,,,,,,,,
PMCID:,Public Lib,PLoS ONE,lung macr,£961.68,,,,,
    PMC3720585,,,,,,,,,
PMCID:,Public Lib,PLOS ONE,Increasing,£961.68,,,,,
    PMC3737189,,,,,,,,,
PMCID: P,Public Lib,PLoS One,Househol,£986.72,,,,,
PMID: 233,Public Lib,PLoS One,Stimulati,£996.06,,,,,
PMCID:,Public Lib,PLoS Path,Histone H,£1254.02,,,,,
    PMC3486875,,,,,,,,,
23326235,Public Lib,PLoS Path,Schmalle,£1397.00,,,,,
21483485,Public Lib,PLoS Path,Lung aden,£1404.00,,,,,
22241985,Public Lib,PLoS Path,Identifica,£1440.00,,,,,
PMCID:,Public Lib,PLoS Path,Induction,£1600.79,,,,,
    PMC3578823,,,,,,,,,
PMCID:,Public Lib,PLOS Path,The zebra,£1602.17,,,,,
    PMC3764221,,,,,,,,,
PMCID:,Public Lib,PLoS Path,KIR2DL2 e,£1644.84,,,,,
    PMC3192839,,,,,,,,,
PMID: 234,Public Lib,PLOS Path,The plasm,£1723.16,,,,,
24098129,Public Lib,Plos Path,The TgsGP,£1735.20,,,,,
PMCID: P,Public Lib,PLoS Path,A mechan,£1758.16,,,,,
PMC36561,Public Lib,PLOS Path,Orthobun,£1766.76,,,,,
PMCID:,Public Lib,PLoS Path,An anti-h,£1780.00,,,,,
    PMC3731244,,,,,,,,,
23505371,Public Lib,Plos Path,An Over e,£1782.00,,,,,
PMC35851,Public Lib,PLoS Path,Poxvirus t,£1784.65,,,,,
PMCID: P,Public Lib,PLoS Path,Determin,£999999.00,,,,,
PMCID:,Public Lib,PLoS Path,The CLIP-,£999999.00,,,,,
    PMC3764210,,,,,,,,,
23308065,Public Lib,PLOS Path,Transmiss,1440$,,,,,
PMID:236,Public Lib,PLoS Path,The Mnn2,1460.3$,,,,,
PMC36106,Public Lib,PLoS Path,DNA brea,1476.47$,,,,,
PMCID:,Public Lib,PLOS Path,Cross-ser,1570.87$,,,,,
    PMC3784482,,,,,,,,,
PMCID:,Public Lib,PLoS Path,Genome-,1600.25$,,,,,
    PMC3605240,,,,,,,,,
PMCID:,Public Lib,PLoS Path,Strongyloi,1600.25$,,,,,
    PMC3617147,,,,,,,,,
PMC35079,Public Lib,PLoSONE,Systemati,£842.54,,,,,
PMC35176,Public Lib,PLoSONE,Impact of,£842.54,,,,,
PMC38068,Public Lib,PLosONE,Methods,£850.88,,,,,
PMC36615,Public Lib,PLosONE,Rates of s,£871.42,,,,,
PMC36202,Public Lib,PLosONE,Associatio,£879.36,,,,,
PMC36485,Public Lib,PLosONE,Alcohol-r,£879.36,,,,,
PMC37608,Public Lib,PLosONE,Acute mat,£884.67,,,,,
PMC3777952,Public Lib,PLosONE,Retinal N,£999999.00,,,,,
    ,Public Lib,PLosONE,Effect of g,£904.34,,,,,
PMC3596319,,,,,,,,,
PMC 3712,Public Lib,Pmedicin,Global Bu,£999999.00,,,,,
PMC37499,Public Lib,PNTD,The outco,£1488.29,,,,,
PMC 3460,Public Lib,PONE-D12,Persisten,£999999.00,,,,,
23166732,Public Lib,Public Lib,The Sec1/,£1016.24,,,,,
PMC33880,Public Lib,Public Lib,T7 RNA po,£1053.41,,,,,
543219,public.ser,Public Ser,Laborator,£6000.00,,,,,
23686113,Publisher,Molecular,Minirevie,£1999.08,,,,,
PMC37013,PubMed,Cortex,Dynamic a,£2380.79,,,,,
PMC 3662,PubMed C,Malaria Jo,Providing,£1530.00,,,,,
PMCID:31,Research,J Cardiova,Assessme,£2350.00,,,,,
23703318,Royal Coll,British Jo,A shared,£3000.00,,,,,
PMID:231,Royal Coll,Britsh Jou,Effective t,£3000.00,,,,,
PMC34614,Royal Coll,The Britis,Ethnic de,£3000.00,,,,,
NA,Royal Coll,The Britis,Pattern re,£3000.00,,,,,
PMC36397,Royal Soci,Biology Le,Host nutri,£1260.00,,,,,
PMC36397,Royal Soci,Biology Le,Vaulting,£1680.00,,,,,
PMC37306,Royal Soci,Biology Le,Anthelmi,£1680.00,,,,,
PMC37306,Royal Soci,Biology Le,Constrain,£2040.00,,,,,
PMC37306,Royal Soci,Interface,A rule-bas,£1260.00,,,,,
3730703,Royal Soci,Journal of,Cell-type-,£1260.00,,,,,
PMC36270,Royal Soci,Journal of,Function-,£1260.00,,,,,
PMC3565701,Royal Soci,Journal of,A gene re,£1680.00,,,,,
,,,,,,,,,
,,,,,,,,,
Published,Royal Soci,Journal of,Life as we,£1680.00,,,,,
NA,Royal Soci,Journal of,Computat,£1680.00,,,,,
PMCID:,Royal Soci,Journal of,Generatin,£1260.00,,,,,
    PMC3565725,,,,,,,,,
 PMC 3679,Royal Soci,Philos Tra,Global  m,£2040.00,,,,,
PMCID:,Royal Soci,Philosoph,Identifica,£1680.00,,,,,
    PMC3758187,,,,,,,,,
PMC35393,Royal Soci,Philosoph,DNA met,£2040.00,,,,,
PMC37124,Royal Soci,Proceedin,Suppress,£1260.00,,,,,
23282992,Royal Soci,Proceedin,Linking th,£1296.00,,,,,
3735249,Royal Soci,Proceedin,Adaptive,£1260.00,,,,,
PMC36730,Royal Soci,Proceedin,Stability o,£1050.00,,,,,
PMC36730,Royal Soci,Proceedin,Cooperati,£1400.00,,,,,
PMC34970,Royal Soci,Proceedin,Inferring s,£1680.00,,,,,
PMC34972,Royal Soci,Proceedin,Grey Matt,£1680.00,,,,,
PMC3574303,Royal Soci,Proceedin,Direct evi,£1680.00,,,,,
,,,,,,,,,
,,,,,,,,,
PMC37851,Royal Soci,Chemical,A new cla,£1000.00,,,,,
24097313,Royal Soci,Chemical,Cellular N,£1740.00,,,,,
23183928,RSC,Dalton Tra,Inframole,£1632.00,,,,,
PMID:230,RSC,Photoche,Investigat,£2550.00,,,,,
PMC37312,RSC Publi,Organic &,Protein d,£1632.00,,,,,
NA,SAGE,Chronic Ill,'Just give,£1920.00,,,,,
NA,Sage,Chronic Ill,The Hamil,£1920.00,,,,,
NA,SAGE,Chronic Ill,Translatin,£1920.00,,,,,
Epub ahe,Sage,European,Smoking c,£1920.00,,,,,
41579,Sage,Health: A,Re-valuin,£1920.00,,,,,
3627513,Sage,History of,War on fe,£1920.00,,,,,
PMC36275,Sage,History of,The inven,£1920.00,,,,,
PMC36527,Sage,History of,Making th,£1920.00,,,,,
PMC37242,Sage,History of,The pursu,£1920.00,,,,,
(PMCID:P,Sage,History of,How autis,£999999.00,,,,,
PMC35245,Sage,Journal of,Hyalurona,£1893.34,,,,,
NA,Sage,Neuroscie,"Memory, I",£480.93,,,,,
PMC34944,Sage,Psycholog,Chaotic H,£2297.82,,,,,
PMC36527,Sage,Social Stu,How personality became treatable: The mutual constitution of clinical  knowledge and mental health law,£1920.00,,,,,
,,,,,,,,,
,,,http://sss.sagepub.com/,,,,,,
,,,SocialStudies of Science,,,,,,
,,, http://sss.sagepub.com/content/43/1/30Theonline version of this article can be found at:?DOI: 10.1177/03063127124577222013 43: 30 originally published online 29 October 2012,,,,,,
,,,Social Studies of Science,,,,,,
,,,Martyn Pickersgill,,,,,,
26988110,Sage Publ,Journal of,NK1 (TAC,£1920.00,,,,,
PMC36826,SAGE Publ,Reproduc,Priorities,£2373.77,,,,,
NA,Sage Publ,Psycholog,Motor Act,£1944.14,,,,,
PMC36414,Sage Publ,Journal of,Juvenile,£1500.00,,,,,
PMC37670,Sage Publ,Journal of,Evidence,£420.00,,,,,
NA,Sage Publ,European,Images an,£800.00,,,,,
Not yet av,Sage Publ,Qualitativ,Picturing,£999999.00,,,,,
NA,Sciedu Pr,International Journal of Financial Research,Determin,£187.03,,,,,
NA,Sciedu Pr,Journal of,Functiona,£135.29,,,,,
Pending,Scientific,Health  ,Suicide id,£551.27,,,,,
PMC37528,Sheridan,American,Asympto,£1646.36,,,,,
PMC37528,Sheridan,American,Selection,£1646.36,,,,,
PMC35163,Sheridan,American,Assessme,£1651.30,,,,,
2828806,Society fo,Endocrine,Glucocorti,£1150.00,,,,,
PMID: 237,Society fo,Journal of,Vaccinia v,£1575.00,,,,,
PMCID: P,Society fo,Journal of,Vaccinia v,£1750.00,,,,,
23324467,Society fo,Journal of,The C ter,£2100.00,,,,,
PMCID:,Society fo,Journal of,Mutations,£2100.00,,,,,
    PMC3709624,,,,,,,,,
PMID: 226,Society fo,Journal of,Protein B,£2100.00,,,,,
PMID: 232,Society fo,Journal of,Deletion,£2100.00,,,,,
PMID: 235,Society fo,Journal of,An essent,£2100.00,,,,,
PMID:225,Society fo,Journal of,The small,£2100.00,,,,,
PMID:232,Society fo,Journal of,Establish,£2100.00,,,,,
PMID:234,Society fo,Journal of,G8 rotavir,£2100.00,,,,,
23412844,Society fo,Journal of,Disruptio,£2100.00,,,,,
PMCID:,Society fo,Microbiol,Overexpr,£2100.00,,,,,
    PMC3709561,,,,,,,,,
PMID: 240,Society fo,Microbiol,A syntheti,£2100.00,,,,,
PMC 3492,Society fo,SGM Ope,Ribosoma,£1750.00,,,,,
PMC33477,Society fo,Journal of,The natur,£1750.00,,,,,
PMID:231,Society fo,Journal of,Kidney tra,£1956.00,,,,,
23447590 :,Society fo,Journal of,GABA(B) r,£1730.99,,,,,
3676539,Society fo,Journal of,Otoferlin,£1761.28,,,,,
PMID: 234,Society fo,Journal of,Serotonin,£1915.92,,,,,
NA,Society fo,Journal of,alpha2del,£2029.47,,,,,
PMCID: P,Society fo,Journal of,The temp,£2069.75,,,,,
PMID:237,Society fo,Journal of,Spinal Co,£2077.27,,,,,
PMCID: P,Society fo,Journal of,Depletion,£2104.22,,,,,
NA,Society fo,Journal of,A distinct,£2214.66,,,,,
NA,Society fo,Journal of,Effect of li,£885.52,,,,,
PMC31966,Society fo,Journal of,Calcineuri,£2950.25,,,,,
23804098,Society fo,The Journ,Bradykini,£2531.56,,,,,
PMC35866,Society fo,Journal of,Segregate,£614.73,,,,,
PMC38088,Society fo,Acta Der,The Importance of a Full Clinical Examination: Assessment of Index,£653.96,,,,,
,,,Lesions Referred to a Skin Cancer Clinic Without a Total Body Skin,,,,,,
,,,Examination Would Miss One in Three Melanomas,,,,,,
PMCID:,Society of,Microbiol,Substituti,£1750.00,,,,,
    PMC3541766,,,,,,,,,
PMID:215,Society of,Journal of,The decti,£1598.38,,,,,
23825402,SOCIETY O,The Journ,Mechanis,£1694.68,,,,,
PMID:242,Society of,Journal of,Auditory,£2346.18,,,,,
PMID: 238,Springer,Acta Diab,A rare SN,£2336.28,,,,,
PMC35492,Springer,Acta Neur,Overexpr,£1901.04,,,,,
NA,Springer,Acta Neur,Î±-Synucl,£1884.01,,,,,
PMC36619,Springer,Acta Neur,Insufficie,£2250.97,,,,,
3535376,Springer,Acta Neur,Unravelli,£2348.21,,,,,
NA,Springer,Advances,Wavelet c,£1928.45,,,,,
NA,Springer,Advances,Modelling,£1928.46,,,,,
NA,Springer,Advances,Normobar,£1928.46,,,,,
NA,Springer,Advances,Oscillatio,£1928.46,,,,,
PMC34759,Springer,Anal Bioa,Fragment,£1902.97,,,,,
3847282,Springer,Biogeront,Shared Ag,£2282.59,,,,,
PMCID:,Springer,Biomedic,Continuo,£2236.16,,,,,
    PMC3764326,,,,,,,,,
PMC3637647,Springer,Brain Stru,Predictio,£1639.06,,,,,
,,,,,,,,,
PMC35369,Springer,Brain Top,"""A novel",£1889.90,,,,,
3215872,Springer,Calcified,Influence,£2002.76,,,,,
3505551,Springer,Cell and T,Differenti,£1908.38,,,,,
PMID: 230,Springer,Cellular a,Reactivati,£1918.46,,,,,
PMID: 232,Springer,Cellular a,Transcript,£1629.33,,,,,
PMCID: P,Springer,Cellular a,Tightrope,£1882.23,,,,,
PMC3632722,Springer,Cellular a,Neurovas,£1897.85,,,,,
,,,,,,,,,
PMC37714,Springer,Cellular a,Regulatio,£1951.80,,,,,
Epub ahe,Springer,Cellular a,Develop,£2226.74,,,,,
PMC36270,Springer,Chromoso,Esperanto,£2258.39,,,,,
print not,Springer,Cognitive,Active inf,£1903.03,,,,,
PMC34900,Springer,Cognitive,How disor,£1989.65,,,,,
PMC36311,Springer,Current A,Modulati,£2147.11,,,,,
NA,Springer,Current A,Oxidized l,£2311.54,,,,,
PMC34100,Springer,Current O,Insights in,£2321.55,,,,,
PMCID: P,Springer,Develop,Snail-dep,£2230.10,,,,,
PMCID: P,Springer,Diabetolo,Colocalisa,£2211.52,,,,,
PMCID: P,Springer,Diabetolo,Predicted,£2289.06,,,,,
PMC37374,Springer,Diabetolo,Improved,£2315.78,,,,,
2361679,Springer,European,Autistic Tr,£2331.95,,,,,
23385540,Springer,European,Are paren,£2285.92,,,,,
PMC34146,Springer,European,Pattern of,£1632.89,,,,,
PMC36725,Springer,European,Hazardou,£1899.66,,,,,
3696174,Springer,European,High life i,£2220.90,,,,,
PMC37388,Springer,European,The effect,£2263.18,,,,,
PMID: 233,Springer,Experime,Cue integ,£1889.10,,,,,
PMC3745827,Springer,Experime,The psych,£2076.55,,,,,
,,,,,,,,,
NA,Springer,Hernia,Use of ant,£1897.21,,,,,
PMID: 236,Springer,Immunog,The pepti,£2211.52,,,,,
PMID: 239,Springer,Immunog,Killer cell,£2240.86,,,,,
PMC36254,Springer,Inflamma,Myocardi,£2759.24,,,,,
23748436,Springer,Journal of,Factor Str,£2324.76,,,,,
PMC36766,Springer,Journal of,Communi,£2240.48,,,,,
PMC3508276,Springer,Journal of,Textual Pr,£1938.26,,,,,
23704797,Springer,Journal of,Packaging,£2226.16,,,,,
PMCID:,Springer,Journal of,The spatia,£2241.43,,,,,
    PMC3650242,,,,,,,,,
PMC31092,Springer,Journal of,Structural,£2127.68,,,,,
print in pr,Springer,Journal of,Pramipex,£1896.98,,,,,
NA,Springer,Journal of,Exome se,£1851.29,,,,,
PMCID: P,Springer,Journal of,How ofte,£1902.46,,,,,
PMID:241,Springer,Journal of,Discrete g,£2209.76,,,,,
PMC36914,Springer,Journal of,Copper d,£2387.49,,,,,
3214239,Springer,Journal of,The Frequ,£2049.78,,,,,
PMC34637,Springer,Mammali,Associatio,£2295.13,,,,,
PMC36088,Springer,Metabolo,Targeted,£1916.98,,,,,
PMC3634978,Springer,Molecular,Folate me,£1860.37,,,,,
,,,,,,,,,
PMC35695,Springer,Neurogen,Compreh,£2382.11,,,,,
PMC3722452,Springer,Neuroinf,PRoNTo:,£1883.71,,,,,
,,,,,,,,,
PMC3650253,Springer,Neuromol,Novel Mu,£1742.35,,,,,
,,,,,,,,,
PMC37771,Springer,Osteopor,The anti-d,£1929.03,,,,,
NA,Springer,Pflugers A,Kv1 and Ki,£1955.03,,,,,
PMC3696465,Springer,Pflugers A,A basic re,£1728.80,,,,,
,,,,,,,,,
PMID: 234,Springer,Psychoph,Divergent,£1142.79,,,,,
PMID: 232,Springer,Psychoph,Comparis,£2075.05,,,,,
PMID: 236,Springer,Psychoph,Noradren,£2265.88,,,,,
PMC38249,Springer,Reproduc,Nuclear r,£2242.99,,,,,
PMC34965,Springer,Seminars,Trichuris,£1894.60,,,,,
PMC35972,Springer,Social Psy,Abuse an,£1739.13,,,,,
PMC34052,Springer,Social Psy,Cross-nati,£1739.13,,,,,
PMC35292,Springer,Social Psy,Patterns o,£1739.13,,,,,
PMC35972,Springer,Social Psy,Abuse and other correlates of Common Mental Disorders in Youth: a,£1905.98,,,,,
,,,"Cross-Sectional study in Goa, India",,,,,,
PMC34052,Springer,Social Psy,Cross-nati,£1944.88,,,,,
PMC35292,Springer,Social Psy,Patterns o,£1944.88,,,,,
PMCID: P,Springer,Social Psy,Epidemiol,£2274.49,,,,,
22618994,Springer,Springer,Intracere,£1981.19,,,,,
PMCID:P,Springer,The Journ,The Value,£2247.34,,,,,
PMCID:,Springer,Tropical A,Low preva,£2054.78,,,,,
    PMC3508281,,,,,,,,,
,,,,,,,,,
PMCID: P,Springer,Urolithias,Accuracy,£1112.40,,,,,
3633780,Springer ,AIDS Beha,Adherenc,£1834.77,,,,,
PMC36278,Springer -,Open Cho,AIDS and,£1663.63,,,,,
PMC37788,Springer -,Open Cho,Detection,£1829.99,,,,,
22897899,Springer S,Springer S,Differenti,£1117.37,,,,,
PMID: 235,Springer,Journal of,AMPK mo,£2262.68,,,,,
3657347,Springer-,Childs Ne,The tymp,£1831.38,,,,,
21948184,SPRINGER,Age,The domi,£2338.28,,,,,
23225165,Springer-,Biomolec,Resonanc,£1930.88,,,,,
PMCID:,Springer-,Journal of,Functiona,£2262.59,,,,,
    PMC3695676,,,,,,,,,
23474851 :,SPRINGER,Journal of,Cellular L,£2289.17,,,,,
23400772,SPRINGER,Journal of,Probing t,£2081.07,,,,,
23340916,Springer-,AGE,Voluntary,£2002.00,,,,,
23179061,Springer-,Biomolec,"1H, 13C an",£1916.11,,,,,
NA,T&F,Azania: Ar,Jebel Moy,£1823.76,,,,,
In Process,Taylor & F,AIDS Care,Burden of,£2145.60,,,,,
PMCID:,Taylor & F,Aids Care,Asset own,£2399.28,,,,,
    PMC3590645,,,,,,,,,
PMCID:,Taylor & F,Aids Care,Barriers t,£2399.28,,,,,
    PMC3613944,,,,,,,,,
PMC37838,Taylor & F,Annals of,"Systems,",£2337.60,,,,,
NA,Taylor & F,Canadian,Go back t,£2145.60,,,,,
NA,Taylor & F,Child Neu,The role o,£2145.60,,,,,
-,Taylor & F,English St,We Canno,£2475.60,,,,,
-,Taylor & F,European,Obscurity,£2260.80,,,,,
PMC37292,Taylor & F,Journal of,Transport,£2145.60,,,,,
In Process,Taylor & F,Medical A,Precariou,£2145.60,,,,,
-,Taylor & F,Science as,Walking o,£2145.60,,,,,
23514390,Taylor & F,Am J Bioe,"The ""diffi",£1804.19,,,,,
3534410,Taylor & F,Ethn Heal,'All her ch,£1987.56,,,,,
PMCID:,Taylor an,AIDS Care,WORLDBA,£2232.74,,,,,
    PMC3687248,,,,,,,,,
PMC35906,Taylor an,American,Just How,£2465.77,,,,,
Not yet av,Taylor an,South Asi,"Quinine,",£2145.60,,,,,
Not yet av,Taylor an,The Histor,Parentho,£2316.79,,,,,
PMC38363,Taylor an,Journal of,Applicatio,£2474.16,,,,,
PMC36211,The Amer,J Med Che,Crystal Str,£1272.99,,,,,
PMC35061,The Amer,J Med Che,Identifica,£1280.73,,,,,
PMC32575,The Amer,J Med Che,"7,8-dichlo",£1535.56,,,,,
PMC35454,The Amer,J Med Che,Novel inv,£625.60,,,,,
PMC3798815,The Amer,Journal of,Develop,£1288.00,,,,,
PMC35181,The Amer,Molecular,Observing,£951.76,,,,,
PMCID:P,The Amer,Jnl Biologi,Photoaffi,£999999.00,,,,,
PMC in pr,The Amer,Pediatrics,Vitamin d,£2645.85,,,,,
23562481,The Boule,Virology,Metageno,£2421.96,,,,,
PMC37440,The comp,Biology O,Analysis o,£1044.00,,,,,
PMC38202,The comp,Disease M,A novel tr,£2400.00,,,,,
PMCID: 35,THE COM,BIOL OPE,DROSOPH,£1014.74,,,,,
3744075,The comp,Biology O,Intra-ER s,£1044.00,,,,,
PMC36402,The Comp,Develop,ProNGF pr,£1620.00,,,,,
PMC36729,The Comp,Journal of,A short bi,£2400.00,,,,,
PMCID:,The Comp,Develop,The transc,£1620.00,,,,,
    PMC3583043,,,,,,,,,
PMC37249,The Endoc,Endocrino,Gastric ex,£1875.00,,,,,
PMCID: P,The Endoc,Endocrino,The progr,£1864.86,,,,,
PMCID:,The Endoc,Endocrino,Short-ter,£2246.22,,,,,
    PMC3544356,,,,,,,,,
PMCID: PMC3507354,The Endoc,Endocrino,Neuroche,£2247.02,,,,,
PMC3708033,THE ENDO,Journal of,Structural,£1970.57,,,,,
,,,,,,,,,
23337727,The Endoc,Journal of,Genotype,£1909.00,,,,,
PMID: 238,The Endoc,Journal of,Metformi,£1969.56,,,,,
PMID: 237,The Endoc,Journal of,How chan,£2320.00,,,,,
23365120,The Endoc,Journal of,Prenatal d,£2347.87,,,,,
NA,The Endro,Journal o,Corticotro,£3602.41,,,,,
NA,The Journ,The Journ,A Visual A,£1424.71,,,,,
PMC3613719,The Royal,BJP,Effect of p,£3000.00,,,,,
PMC37661,The Royal,British Jo,Alcohol as,£3000.00,,,,,
23782536,The Royal,Journal of,The struct,£2057.78,,,,,
PMCID: P,The Royal,Philosoph,Cell and ti,£1680.00,,,,,
PMC36730,The Royal,Proceedin,Integratin,£1680.00,,,,,
PMC34797,The Royal,Proceedin,Virulence,£1260.00,,,,,
PMC32599,The Royal,Proceedin,Non-linea,£1680.00,,,,,
PMCID: P,The Royal,Proceedin,Analysis o,£1680.00,,,,,
PMC 3720,The royal,RSTB 2012,A sticky si,£1680.00,,,,,
22962270,The Sheri,Cancer Re,T cell traff,£799.44,,,,,
NA,The Sheri,Science-R,Increase i,£1224.61,,,,,
NA,The Sheri,Science-R,High Cove,£949.52,,,,,
3516067,The Sheri,Am J Trop,Use of Ra,£1152.50,,,,,
NA,Transcript,Developi,Rethinkin,£1653.02,,,,,
PMID: 238,University,Internatio,The Dicty,£1306.11,,,,,
21624095  ,Wiley,Acta Physi,Integratio,£1991.50,,,,,
In Process,Wiley,Addiction,Acute alc,£1919.51,,,,,
23734913,Wiley,Addiction,Childhoo,£2352.94,,,,,
print publ,Wiley,Aging Cell,TORC1 sig,£1970.57,,,,,
PMCID:,Wiley,Alimentra,Meta-anal,£2373.59,,,,,
    PMC3761188,,,,,,,,,
PMCID:,Wiley,Alimentra,Predicting,£2373.59,,,,,
    PMC3761189,,,,,,,,,
NA,Wiley,American,This is our,£1870.32,,,,,
published,Wiley,American,A Distinct,£1500.00,,,,,
PMC37494,Wiley,Angewan,Site-Speci,£2979.91,,,,,
NA,Wiley,Angewan,Cysteine,£2250.00,,,,,
PMC35326,Wiley,Annals of,Associatio,£2234.61,,,,,
PMC36987,Wiley,Annals of,Optic radi,£1500.00,,,,,
PMC35800,Wiley,Annals of,Mitochon,£2184.22,,,,,
PMC3638323,Wiley,Annals of,Glucocere,£2010.24,,,,,
PMC3698699,Wiley,Annals of,Mutations,£2010.24,,,,,
,,,,,,,,,
NA,Wiley,Annals of,How serot,£1500.00,,,,,
PMC34952,Wiley,Annals of,What brai,£2293.27,,,,,
PMCID:,Wiley,Arthritis,Lack of eff,£1000.00,,,,,
    PMC3625741,,,,,,,,,
PMCID:,Wiley,Arthritis,Distinct ro,£1500.00,,,,,
    PMC3607248,,,,,,,,,
NA,Wiley,Arthritis,The circad,£1969.02,,,,,
23460124,Wiley,Arthritis a,Metabolic,£1500.00,,,,,
23740368,Wiley,Arthritis a,The impac,£1500.00,,,,,
3654172,Wiley,Bioethics,What Can,£1901.02,,,,,
PMC35792,Wiley,Bioethics,Free Ride,£1969.41,,,,,
PMC36607,Wiley,Bioethics,President,£1969.41,,,,,
NA,Wiley,Biopolym,Particle Tr,£1981.77,,,,,
NA,Wiley,Birth Defe,Knowledg,£1500.00,,,,,
NA,Wiley,Birth Defe,Is LMNB1,£1500.00,,,,,
PMC36127,Wiley,British Jo,Human st,£2184.22,,,,,
published,Wiley,British Jo,Immunoh,£1954.74,,,,,
PMCID: P,Wiley,British Jo,Malaria:,£1929.35,,,,,
23121507,Wiley,British Jo,Inhibition,£1868.00,,,,,
PMC3594681,Wiley,British Jo,On the sel,£1900.90,,,,,
,,,,,,,,,
23763262,Wiley,British Jo,In pursuit,£1952.24,,,,,
23902464,Wiley,Cellular M,Mannan core branching of lipo(arabino)mannan is,£1500.00,,,,,
,,,required for mycobacterial virulence in the context of,,,,,,
,,,innate immunity,,,,,,
PMID:240,Wiley,ChemBio,The Devel,£1500.00,,,,,
PMID:234,Wiley,ChemBio,An Enzym,£2083.48,,,,,
23418011  ,Wiley,ChemBio,tructural i,£2153.41,,,,,
22996943,Wiley,Chemistry,The use o,£2051.27,,,,,
PMC34846,Wiley,Child Psyc,The Affec,£2302.93,,,,,
PMC36541,Wiley,Clinical G,Telamere,£2864.53,,,,,
3638371,Wiley,Cytoskele,The kineti,£1977.72,,,,,
PMC36745,Wiley,Developi,She's my s,£1954.14,,,,,
3698701,Wiley,Develop,Expressio,£2400.00,,,,,
NA,Wiley,Develop,The relati,£1500.00,,,,,
PMC35866,Wiley,Diabetic,Sequenci,£2304.31,,,,,
PMC36545,Wiley,Diabetic,Biallelic P,£2310.95,,,,,
-,Wiley,Diabetic,Urinary C-,£2384.10,,,,,
PMC35866,Wiley,Ecology a,The bacte,£1440.00,,,,,
epub,Wiley,Ecology L,Differenti,£2388.08,,,,,
PMC3628103,Wiley,EMBO Mo,Long-ter,£3078.92,,,,,
,,,,,,,,,
NA,Wiley,Epilepsia,Structural,£1500.00,,,,,
PMC36151,Wiley,European,ICOS cont,£1820.09,,,,,
PMCID: P,Wiley,European,AMPK?1:,£2020.25,,,,,
NA,Wiley,European,Parallelis,£1500.00,,,,,
PMC37954,Wiley,Evolution,Spite vers,£2184.22,,,,,
NA,Wiley,Evolution,Is HIV sho,£2374.52,,,,,
PMC3470925,Wiley,Experime,Remote Is,£1894.94,,,,,
,,,,,,,,,
23170778,Wiley,FEBS J.,Crystal str,£2246.21,,,,,
23082758,Wiley,FEBS J.,Structural,£2247.05,,,,,
23517310,Wiley,FEBS Jour,Adenosin,£1500.00,,,,,
print due,Wiley,FEBS Jour,Recent pr,£1500.00,,,,,
PMID : 23,Wiley,FEMS Micr,bkaR is a T,£2008.84,,,,,
-,Wiley,FEMS Micr,Identifica,£2337.66,,,,,
23738518,Wiley,Genes Bra,A genome,£2355.52,,,,,
23315936,Wiley,genesis: J,The Caen,£2376.40,,,,,
3644876,Wiley,Glia,Microglia,£1977.72,,,,,
PMC35800,Wiley,Glia,Injury and,£2184.22,,,,,
NA,Wiley,HBM JNL,Phase inf,£999999.00,,,,,
23775568,Wiley,Hepatolo,Paracrine,£1500.00,,,,,
22807091  ,Wiley,Hepatolo,Heteroge,£1500.00,,,,,
NA,Wiley,Hepatolo,Proteome,£1969.41,,,,,
